Security Ticker,Security Description
HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc
WOR,Worthington Industries Inc
EAT,Brinker Intl Inc
PFS,Provident Financial Services Inc
PLT,Plantronics Inc
MXL,Maxlinear Inc
RDFN,Redfin Corp
NGHC,National General Holdings Corp
ELY,Callaway Golf Co
SEM,Select Medical Holdings Corp
HNI,Hni Corp
LZB,La-Z-Boy In
RWT,Redwood Trust Inc
SFBS,Servisfirst Bancshares Inc
NAV,Navistar Intl Corp
DIOD,Diodes Inc
KNSL,Kinsale Capital Group Inc
PBH,Prestige Brands Holdings Inc
MDC,Mdc Holdings Inc
FSS,Federal Signal Corp
ABG,Asbury Automotive Group Inc
KALU,Kaiser Aluminum Corp
DNOW,Now Inc
MINI,Mobile Mini Inc
ABCB,Ameris Bancorp
BMI,Badger Meter Inc
SFLY,Shutterfly Inc
ENTA,Enanta Pharmaceuticals Inc
WK,Workiva Inc
CVGW,Calavo Growers Inc
CTB,Cooper Tire & Rubber Co
CSGS,Csg Systems Intl Inc
APPF,Appfolio Inc
BIG,Big Lots Inc
PUMP,Propetro Holding Corp
LADR,Ladder Capital Corp
BMCH,Bmc Stock Holdings Inc
WERN,Werner Enterprises Inc
AMBA,Ambarella Inc
XNCR,Xencor Inc
ACIA,Acacia Communications Inc
CBM,Cambrex Corp
DY,Dycom Industries Inc
SEAS,Seaworld Entertainment Inc
SCS,Steelcase Inc
WD,Walker & Dunlop Inc
ATU,Actuant Corp
VRTU,Virtusa Corp
MGRC,Mcgrath Rentcorp
IRWD,Ironwood Pharmaceuticals Inc
MRTX,Mirati Therapeutics Inc
SRG,Seritage Growth Properties
DBI,Designer Brands Inc
HTH,Hilltop Holdings Inc
LAUR,Laureate Education Inc-A
TIER,Tier Reit Inc
ANAB,Anaptysbio Inc
DRQ,Dril-Quip Inc
CPK,Chesapeake Utilities Corp
STMP,Stamps.Com Inc
CARS,Cars.Com Inc
RGNX,Regenxbio Inc
AERI,Aerie Pharmaceuticals Inc
SHAK,Shake Shack Inc - Cl A
GPI,Group 1 Automotive Inc
GNL,Global Net Lease Inc
NAVG,Navigators Group Inc
